	Date	Twitter Inc.	Apple Inc.	Facebook Inc.	NVIDIA Corp	Amazon.com Inc	Microsoft Corp
288	2015-04-01	50.47	124.280008292	81.557	20.7161348748	372.25	39.5986260531
289	2015-03-31	50.08	122.298944949	81.665	20.6323237627	370.255	39.5548437885
290	2015-03-30	49.89	121.254739147	82.215	21.169700893	372.1	39.8515902491
291	2015-03-27	50.01	121.430399936	83.195	21.0809597155	374.59	39.8613196412
292	2015-03-26	49.92	123.323632885	83.3	20.671764286	370.56	40.0948250528
293	2015-03-25	49.5	120.278845874	83.03	20.7388131757	367.35	40.3380598566
294	2015-03-24	51.47	121.244980214	82.94	22.0866930602	370.96	41.7390923263
295	2015-03-23	48.46	120.405711999	85.31	22.392357116	374.09	41.6953100616
296	2015-03-20	48.44	123.635918732	84.43	23.1417270591	375.11	41.719633542
297	2015-03-19	47.93	124.143383234	83.8	22.8902937229	378.49	41.140734709
298	2015-03-18	47.2	122.864963047	82.75	22.5501192092	373.24	41.3499166403
299	2015-03-17	46.93	124.421512817	80.9172	22.91494405	375.135	40.5667005721
300	2015-03-16	46.43	125.373008758	79.365	22.6437904521	371.92	40.4061656016
301	2015-03-13	46.66	123.977481378	78.07	22.3824969851	373.35	40.2602247194
302	2015-03-12	47.07	121.937864438	78.05	22.3529165926	370.58	39.909966602
303	2015-03-11	46.27	120.610649587	78.93	22.5599793401	374.33	40.8439882484
304	2015-03-10	45.84	121.449917801	77.57	22.6733708446	366.37	40.8926352092
305	2015-03-09	47.59	119.293193668	77.55	22.2937558076	369.51	41.6904453655
306	2015-03-06	46.75	121.508471398	79.44	22.2345950227	378.56	41.2137051501
307	2015-03-05	47.35	124.075070705	80.005	22.5402590784	380.09	41.9434095614
308	2015-03-04	47.57	123.548088338	81.21	22.1162734527	387.83	41.8898979046
309	2015-03-03	47.71	123.362668616	80.895	21.8697701819	382.72	42.108809228
310	2015-03-02	48.15	125.441321287	79.6	22.2789656114	384.61	42.692572757
311	2015-02-27	48.08	126.241553771	79.75	21.751448612	385.655	42.6633845806
312	2015-02-26	49.41	125.978062587	78.97	21.8894904436	380.16	42.8628371197
313	2015-02-25	48.55	125.363249825	80.41	21.8303296586	384.8	42.7995960707
314	2015-02-24	48.69	127.271121174	79.56	21.9979518827	385.37	42.8968899922
315	2015-02-23	48.47	125.685294605	78.45	21.8500499203	378.59	42.9552663451
